Category,Stage,Recipe Directory,Model / Workload Type,Accelerator Platform,Accelerator / GPU Topology (Count),Host Type,Orchestrator,Software Stack,Last Commit Date,Last Commit Message,Direct GitHub Recipe Link
Inference,N/A,inference/a4x/single-host-serving/gemma-4-26b-it/vllm/v0_23_x/4gpus-bf16-isl1024-osl500-mm1/recipe,Gemma-4-26B-it,A4X,4 GPUs,Single Host,GKE,vLLM,2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/inference/a4x/single-host-serving/gemma-4-26b-it/vllm/v0_23_x/4gpus-bf16-isl1024-osl500-mm1/recipe
Inference,N/A,inference/a4x/single-host-serving/gemma-4-26b-it/vllm/v0_23_x/4gpus-bf16-isl1024-osl500-mm4/recipe,Gemma-4-26B-it,A4X,4 GPUs,Single Host,GKE,vLLM,2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/inference/a4x/single-host-serving/gemma-4-26b-it/vllm/v0_23_x/4gpus-bf16-isl1024-osl500-mm4/recipe
Inference,N/A,inference/a4x/single-host-serving/gemma-4-26b-it/vllm/v0_23_x/4gpus-bf16-isl1024-osl500/recipe,Gemma-4-26B-it,A4X,4 GPUs,Single Host,GKE,vLLM,2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/inference/a4x/single-host-serving/gemma-4-26b-it/vllm/v0_23_x/4gpus-bf16-isl1024-osl500/recipe
Inference,N/A,inference/a4x/single-host-serving/gemma-4-31b/vllm/v0_23_x/4gpus-bf16-isl1024-osl500-mm1/recipe,Gemma-4-31B,A4X,4 GPUs,Single Host,GKE,vLLM,2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/inference/a4x/single-host-serving/gemma-4-31b/vllm/v0_23_x/4gpus-bf16-isl1024-osl500-mm1/recipe
Inference,N/A,inference/a4x/single-host-serving/gemma-4-31b/vllm/v0_23_x/4gpus-bf16-isl1024-osl500-mm4/recipe,Gemma-4-31B,A4X,4 GPUs,Single Host,GKE,vLLM,2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/inference/a4x/single-host-serving/gemma-4-31b/vllm/v0_23_x/4gpus-bf16-isl1024-osl500-mm4/recipe
Inference,N/A,inference/a4x/single-host-serving/gemma-4-31b/vllm/v0_23_x/4gpus-bf16-isl1024-osl500/recipe,Gemma-4-31B,A4X,4 GPUs,Single Host,GKE,vLLM,2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/inference/a4x/single-host-serving/gemma-4-31b/vllm/v0_23_x/4gpus-bf16-isl1024-osl500/recipe
Inference,N/A,inference/a4x/single-host-serving/sglang,Single host inference benchmark of Wan2.2 with Sglang on A4x GKE Node Pool,A4X,1 GPUs,Single Host,GKE,"SGLang, Hugging Face Accelerate",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/inference/a4x/single-host-serving/sglang
Inference,N/A,inference/a4x/single-host-serving/tensorrt-llm,Llama-4,A4X,4 GPUs (1 Node),Single Host,GKE,"TensorRT-LLM, Hugging Face Accelerate",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/inference/a4x/single-host-serving/tensorrt-llm
Inference,N/A,inference/a4x/single-host-serving/tensorrt-llm-gcs,Single Host Model Serving with NVIDIA TensorRT-LLM (TRT-LLM) and Google Cloud Storage on A4X GKE Node Pool,A4X,4 GPUs (1 Node),Single Host,GKE,TensorRT-LLM,2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/inference/a4x/single-host-serving/tensorrt-llm-gcs
Inference,N/A,inference/a4x/single-host-serving/tensorrt-llm-lustre,Single Host Model Serving with NVIDIA TensorRT-LLM (TRT-LLM) and Google Cloud Managed Lustre on A4X GKE Node Pool,A4X,4 GPUs (1 Node),Single Host,GKE,TensorRT-LLM,2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/inference/a4x/single-host-serving/tensorrt-llm-lustre
Inference,N/A,inference/a4x/single-host-serving/vllm,Llama-4,A4X,4 GPUs (1 Node),Single Host,GKE,"vLLM, Hugging Face Accelerate",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/inference/a4x/single-host-serving/vllm
Inference,N/A,inference/a4xmax/aggregated-serving/tensorrt-llm,Aggregated Inference Serving on GKE with TensorRT-LLM (A4X MAX / GB300),A4X Max,8 GPUs,Multi Host,GKE,"TensorRT-LLM, Hugging Face Accelerate",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/inference/a4xmax/aggregated-serving/tensorrt-llm
Inference,Production,inference/a4xmax/disaggregated-serving/dynamo,Disaggregated Multi-Node Inference with NVIDIA Dynamo on A4X-MAX GKE,A4X Max,4 GPUs,Multi Host,Slurm,"vLLM, SGLang, Dynamo / Disaggregated Serving, Hugging Face Accelerate",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/inference/a4xmax/disaggregated-serving/dynamo
Inference,N/A,inference/g4/deepseek_r1/single-host-serving/tensorrt-llm,DeepSeek-R1,G4,4 GPUs,Single Host,GCE / Docker,"TensorRT-LLM, Hugging Face Accelerate",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/inference/g4/deepseek_r1/single-host-serving/tensorrt-llm
Inference,N/A,inference/g4/llama3_1_70b/single-host-serving/tensorrt-llm,Llama-3.1-70B,G4,4 GPUs,Single Host,GCE / Docker,"TensorRT-LLM, Hugging Face Accelerate",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/inference/g4/llama3_1_70b/single-host-serving/tensorrt-llm
Inference,N/A,inference/g4/llama3_1_70b/single-host-serving/vllm,Llama-3.1-70B,G4,8 GPUs,Single Host,GCE / Docker,"vLLM, Hugging Face Accelerate",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/inference/g4/llama3_1_70b/single-host-serving/vllm
Inference,N/A,inference/g4/qwen3_235b/single-host-serving/tensorrt-llm,Qwen3-235B-A22B,G4,4 GPUs,Single Host,GCE / Docker,"TensorRT-LLM, Hugging Face Accelerate",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/inference/g4/qwen3_235b/single-host-serving/tensorrt-llm
Inference,N/A,inference/g4/qwen3_30b_a3b/single-host-serving/tensorrt-llm,Qwen3-30B-A3B,G4,4 GPUs,Single Host,GCE / Docker,"TensorRT-LLM, Hugging Face Accelerate",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/inference/g4/qwen3_30b_a3b/single-host-serving/tensorrt-llm
Inference,N/A,inference/g4/qwen3_32b/single-host-serving/tensorrt-llm,Qwen3-32B,G4,4 GPUs,Single Host,GCE / Docker,"TensorRT-LLM, Hugging Face Accelerate",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/inference/g4/qwen3_32b/single-host-serving/tensorrt-llm
Inference,N/A,inference/g4/qwen3_32b/single-host-serving/vllm,Qwen3-32B,G4,4 GPUs,Single Host,GCE / Docker,vLLM,2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/inference/g4/qwen3_32b/single-host-serving/vllm
Inference,N/A,inference/g4/qwen3_4b/single-host-serving/tensorrt-llm,Qwen3-4B,G4,4 GPUs,Single Host,GCE / Docker,"TensorRT-LLM, Hugging Face Accelerate",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/inference/g4/qwen3_4b/single-host-serving/tensorrt-llm
Inference,N/A,inference/g4/qwen3_8b/single-host-serving/tensorrt-llm,Qwen3-8B,G4,4 GPUs,Single Host,GCE / Docker,"TensorRT-LLM, Hugging Face Accelerate",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/inference/g4/qwen3_8b/single-host-serving/tensorrt-llm
Inference,N/A,inference/g4/wan2.2/sglang,Wan-2.2-14B,G4,6000 GPUs,Multi Host,GKE,"SGLang, Hugging Face Accelerate",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/inference/g4/wan2.2/sglang
Training,Beta,training/a3mega/gpt3_175b/nemo-gke/nemo2507/recipe,GPT-3-175B,A3 Mega,256 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a3mega/gpt3_175b/nemo-gke/nemo2507/recipe
Training,N/A,training/a3mega/llama3_70b/nemo-gke-gcs/nemo2507/recipe,Llama-3.1-70B,A3 Mega,256 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a3mega/llama3_70b/nemo-gke-gcs/nemo2507/recipe
Training,N/A,training/a3mega/llama3_70b/nemo-gke-resiliency/nemo2507/recipe,Llama-3.1-70B,A3 Mega,8 GPUs (1 Node),Single Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a3mega/llama3_70b/nemo-gke-resiliency/nemo2507/recipe
Training,Beta,training/a3mega/llama3_70b/nemo-gke/nemo2507/128gpus-bf16/recipe,Llama-3-70B,A3 Mega,128 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a3mega/llama3_70b/nemo-gke/nemo2507/128gpus-bf16/recipe
Training,Beta,training/a3mega/llama3_70b/nemo-gke/nemo2507/256gpus-bf16/recipe,Llama-3.1-70B,A3 Mega,256 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a3mega/llama3_70b/nemo-gke/nemo2507/256gpus-bf16/recipe
Training,Beta,training/a3mega/mixtral_8x7b/nemo-gke/nemo2507/recipe,Mixtral-8x7B,A3 Mega,256 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a3mega/mixtral_8x7b/nemo-gke/nemo2507/recipe
Training,N/A,training/a3ultra/deepseek_v3/megatron-bridge-gke/nemo2602/256gpus-bf16-seq4096-gbs2048/recipe,DeepSeek-V3,A3 Ultra,256 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a3ultra/deepseek_v3/megatron-bridge-gke/nemo2602/256gpus-bf16-seq4096-gbs2048/recipe
Training,N/A,training/a3ultra/deepseek_v3/megatron-bridge-gke/nemo2602/256gpus-fp8cs-seq4096-gbs2048/recipe,DeepSeek-V3,A3 Ultra,256 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a3ultra/deepseek_v3/megatron-bridge-gke/nemo2602/256gpus-fp8cs-seq4096-gbs2048/recipe
Training,N/A,training/a3ultra/gpt_oss_120b/nemo-gke/nemo2602/64gpus-bf16-gbs1280/recipe,GPT-OSS-120B,A3 Ultra,64 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a3ultra/gpt_oss_120b/nemo-gke/nemo2602/64gpus-bf16-gbs1280/recipe
Training,N/A,training/a3ultra/llama3-1-405b/maxtext-pretraining-gke,Llama-3.1-405B,A3 Ultra,256 GPUs,Multi Host,GKE,MaxText (JAX),2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a3ultra/llama3-1-405b/maxtext-pretraining-gke
Training,N/A,training/a3ultra/llama3-1-70b/maxtext-pretraining-gke,Llama-3.1-70B,A3 Ultra,256 GPUs,Multi Host,GKE,MaxText (JAX),2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a3ultra/llama3-1-70b/maxtext-pretraining-gke
Training,N/A,training/a3ultra/llama31_405b/nemo-gke-resiliency/nemo2412/recipe,Llama-3.1-405B,A3 Ultra,8 GPUs (1 Node),Single Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a3ultra/llama31_405b/nemo-gke-resiliency/nemo2412/recipe
Training,N/A,training/a3ultra/llama31_405b/nemo-gke/nemo2412/recipe,Llama-3.1-405B,A3 Ultra,576 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a3ultra/llama31_405b/nemo-gke/nemo2412/recipe
Training,N/A,training/a3ultra/llama3_70b/megatron-bridge-gke/nemo2602/64gpus-bf16-seq8192-gbs256/recipe,Llama-3-70B,A3 Ultra,64 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a3ultra/llama3_70b/megatron-bridge-gke/nemo2602/64gpus-bf16-seq8192-gbs256/recipe
Training,N/A,training/a3ultra/llama3_70b/megatron-bridge-gke/nemo2602/64gpus-fp8cs-seq8192-gbs256/recipe,Llama-3-70B,A3 Ultra,64 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a3ultra/llama3_70b/megatron-bridge-gke/nemo2602/64gpus-fp8cs-seq8192-gbs256/recipe
Training,N/A,training/a3ultra/llama3_70b/megatron-bridge-slurm/nemo2511/32gpus-fp8cs-seq8192-gbs1024/recipe,Llama-3.1-70B,A3 Ultra,32 GPUs,Multi Host,Slurm,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a3ultra/llama3_70b/megatron-bridge-slurm/nemo2511/32gpus-fp8cs-seq8192-gbs1024/recipe
Training,N/A,training/a3ultra/llama3_70b/megatron-bridge-slurm/nemo2511/32gpus-fp8cs-seq8192-gbs128/recipe,Llama-3.1-70B,A3 Ultra,32 GPUs,Multi Host,Slurm,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a3ultra/llama3_70b/megatron-bridge-slurm/nemo2511/32gpus-fp8cs-seq8192-gbs128/recipe
Training,N/A,training/a3ultra/llama3_70b/megatron-bridge-slurm/nemo2511/32gpus-fp8cs-seq8192-gbs512/recipe,Llama-3.1-70B,A3 Ultra,32 GPUs,Multi Host,Slurm,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a3ultra/llama3_70b/megatron-bridge-slurm/nemo2511/32gpus-fp8cs-seq8192-gbs512/recipe
Training,N/A,training/a3ultra/llama3_70b/nemo-gke/nemo2407/recipe,Llama-3.1-70B,A3 Ultra,256 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a3ultra/llama3_70b/nemo-gke/nemo2407/recipe
Training,N/A,training/a3ultra/llama3_8b/megatron-bridge-slurm/nemo2511/16gpus-fp8cs-seq8192-gbs128/recipe,Llama-3.1-8B,A3 Ultra,16 GPUs,Multi Host,Slurm,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a3ultra/llama3_8b/megatron-bridge-slurm/nemo2511/16gpus-fp8cs-seq8192-gbs128/recipe
Training,N/A,training/a3ultra/llama3_8b/megatron-bridge-slurm/nemo2511/16gpus-fp8cs-seq8192-gbs256/recipe,Llama-3.1-8B,A3 Ultra,16 GPUs,Multi Host,Slurm,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a3ultra/llama3_8b/megatron-bridge-slurm/nemo2511/16gpus-fp8cs-seq8192-gbs256/recipe
Training,N/A,training/a3ultra/mixtral_8x7b/nemo-gke-resiliency/nemo2407/recipe,Mixtral-8x7B,A3 Ultra,8 GPUs (1 Node),Single Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a3ultra/mixtral_8x7b/nemo-gke-resiliency/nemo2407/recipe
Training,N/A,training/a3ultra/mixtral_8x7b/nemo-gke/nemo2407/recipe,Mixtral-8x7B,A3 Ultra,256 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a3ultra/mixtral_8x7b/nemo-gke/nemo2407/recipe
Training,N/A,training/a3ultra/nccl-tests,NCCL Tests,A3 Ultra,8 GPUs (1 Node),Single Host,GKE,PyTorch / CUDA,2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a3ultra/nccl-tests
Training,N/A,training/a3ultra/qwen3_30b_a3b/nemo-gke/nemo2602/16gpus-bf16-gbs1024/recipe,Qwen3-30B-A3B,A3 Ultra,16 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a3ultra/qwen3_30b_a3b/nemo-gke/nemo2602/16gpus-bf16-gbs1024/recipe
Training,N/A,training/a3ultra/qwen3_30b_a3b/nemo-gke/nemo2602/16gpus-fp8cs-gbs1024/recipe,Qwen3-30B-A3B,A3 Ultra,16 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a3ultra/qwen3_30b_a3b/nemo-gke/nemo2602/16gpus-fp8cs-gbs1024/recipe
Training,N/A,training/a3ultra/wan/megatron-bridge-gke/nemo2602/32gpus-bf16-gbs128/recipe,Wan-2.1-14B,A3 Ultra,32 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a3ultra/wan/megatron-bridge-gke/nemo2602/32gpus-bf16-gbs128/recipe
